Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
country,tblcenter,Site Location,dropdown,COUNTRY,"AFG, Afghanistan | ALA, Ŭand Islands | ALB, Albania | DZA, Algeria | ASM, American Samoa | AND, Andorra | AGO, Angola | AIA, Anguilla | ATA, Antarctica | ATG, Antigua and Barbuda | ARG, Argentina | ARM, Armenia | ABW, Aruba | AUS, Australia | AUT, Austria | AZE, Azerbaijan | BHS, Bahamas (the) | BHR, Bahrain | BGD, Bangladesh | BRB, Barbados | BLR, Belarus | BEL, Belgium | BLZ, Belize | BEN, Benin | BMU, Bermuda | BTN, Bhutan | BOL, Bolivia (Plurinational State of) | BES, Bonaire, Sint Eustatius and Saba | BIH, Bosnia and Herzegovina | BWA, Botswana | BVT, Bouvet Island | BRA, Brazil | IOT, British Indian Ocean Territory (the) | BRN, Brunei Darussalam | BGR, Bulgaria | BFA, Burkina Faso | BDI, Burundi | CPV, Cabo Verde | KHM, Cambodia | CMR, Cameroon | CAN, Canada | CYM, Cayman Islands (the) | CAF, Central African Republic (the) | TCD, Chad | CHL, Chile | CHN, China | CXR, Christmas Island | CCK, Cocos (Keeling) Islands (the) | COL, Colombia | COM, Comoros (the) | COD, Congo (the Democratic Republic of the) | COG, Congo (the) | COK, Cook Islands (the) | CRI, Costa Rica | CIV, Côte d'Ivoire | HRV, Croatia | CUB, Cuba | CUW, Cura硯 | CYP, Cyprus | CZE, Czechia | DNK, Denmark | DJI, Djibouti | DMA, Dominica | DOM, Dominican Republic (the) | ECU, Ecuador | EGY, Egypt | SLV, El Salvador | GNQ, Equatorial Guinea | ERI, Eritrea | EST, Estonia | SWZ, Eswatini | ETH, Ethiopia | FLK, Falkland Islands (the) [Malvinas] | FRO, Faroe Islands (the) | FJI, Fiji | FIN, Finland | FRA, France | GUF, French Guiana | PYF, French Polynesia | ATF, French Southern Territories (the) | GAB, Gabon | GMB, Gambia (the) | GEO, Georgia | DEU, Germany | GHA, Ghana | GIB, Gibraltar | GRC, Greece | GRL, Greenland | GRD, Grenada | GLP, Guadeloupe | GUM, Guam | GTM, Guatemala | GGY, Guernsey | GIN, Guinea | GNB, Guinea-Bissau | GUY, Guyana | HTI, Haiti | HMD, Heard Island and McDonald Islands | VAT, Holy See (the) | HND, Honduras | HKG, Hong Kong | HUN, Hungary | ISL, Iceland | IND, India | IDN, Indonesia | IRN, Iran (Islamic Republic of) | IRQ, Iraq | IRL, Ireland | IMN, Isle of Man | ISR, Israel | ITA, Italy | JAM, Jamaica | JPN, Japan | JEY, Jersey | JOR, Jordan | KAZ, Kazakhstan | KEN, Kenya | KIR, Kiribati | PRK, Korea (the Democratic People's Republic of) | KOR, Korea (the Republic of) | KWT, Kuwait | KGZ, Kyrgyzstan | LAO, Lao People's Democratic Republic (the) | LVA, Latvia | LBN, Lebanon | LSO, Lesotho | LBR, Liberia | LBY, Libya | LIE, Liechtenstein | LTU, Lithuania | LUX, Luxembourg | MAC, Macao | MKD, Macedonia (the former Yugoslav Republic of) | MDG, Madagascar | MWI, Malawi | MYS, Malaysia | MDV, Maldives | MLI, Mali | MLT, Malta | MHL, Marshall Islands (the) | MTQ, Martinique | MRT, Mauritania | MUS, Mauritius | MYT, Mayotte | MEX, Mexico | FSM, Micronesia (Federated States of) | MDA, Moldova (the Republic of) | MCO, Monaco | MNG, Mongolia | MNE, Montenegro | MSR, Montserrat | MAR, Morocco | MOZ, Mozambique | MMR, Myanmar | NAM, Namibia | NRU, Nauru | NPL, Nepal | NLD, Netherlands (the) | NCL, New Caledonia | NZL, New Zealand | NIC, Nicaragua | NER, Niger (the) | NGA, Nigeria | NIU, Niue | NFK, Norfolk Island | MNP, Northern Mariana Islands (the) | NOR, Norway | OMN, Oman | PAK, Pakistan | PLW, Palau | PSE, Palestine, State of | PAN, Panama | PNG, Papua New Guinea | PRY, Paraguay | PER, Peru | PHL, Philippines (the) | PCN, Pitcairn | POL, Poland | PRT, Portugal | PRI, Puerto Rico | QAT, Qatar | REU, R鵮ion | ROU, Romania | RUS, Russian Federation (the) | RWA, Rwanda | BLM, Saint Barth鬥my | SHN, Saint Helena, Ascension and Tristan da Cunha | KNA, Saint Kitts and Nevis | LCA, Saint Lucia | MAF, Saint Martin (French part) | SPM, Saint Pierre and Miquelon | VCT, Saint Vincent and the Grenadines | WSM, Samoa | SMR, San Marino | STP, Sao Tome and Principe | SAU, Saudi Arabia | SEN, Senegal | SRB, Serbia | SYC, Seychelles | SLE, Sierra Leone | SGP, Singapore | SXM, Sint Maarten (Dutch part) | SVK, Slovakia | SVN, Slovenia | SLB, Solomon Islands | SOM, Somalia | ZAF, South Africa | SGS, South Georgia and the South Sandwich Islands | SSD, South Sudan | ESP, Spain | LKA, Sri Lanka | SDN, Sudan (the) | SUR, Suriname | SJM, Svalbard and Jan Mayen | SWE, Sweden | CHE, Switzerland | SYR, Syrian Arab Republic | TWN, Taiwan (Province of China) | TJK, Tajikistan | TZA, Tanzania, United Republic of | THA, Thailand | TLS, Timor-Leste | TGO, Togo | TKL, Tokelau | TON, Tonga | TTO, Trinidad and Tobago | TUN, Tunisia | TUR, Turkey | TKM, Turkmenistan | TCA, Turks and Caicos Islands (the) | TUV, Tuvalu | UGA, Uganda | UKR, Ukraine | ARE, United Arab Emirates (the) | GBR, United Kingdom of Great Britain and Northern Ireland (the) | UMI, United States Minor Outlying Islands (the) | USA, United States of America (the) | URY, Uruguay | UZB, Uzbekistan | VUT, Vanuatu | VEN, Venezuela (Bolivarian Republic of) | VNM, Viet Nam | VGB, Virgin Islands (British) | VIR, Virgin Islands (U.S.) | WLF, Wallis and Futuna | ESH, Western Sahara | YEM, Yemen | ZMB, Zambia | ZWE, Zimbabwe","<a target=""_blank"" href=""http://en.wikipedia.org/wiki/ISO_3166-1_alpha-3"">Coded as 3-letter ISO code (on back end)</a>",autocomplete,,,,,,,,,,
province,tblcenter,,text,PROVINCE,,,,,,,,,,,,,
district,tblcenter,,text,DISTRICT,,,,,,,,,,,,,
city,tblcenter,,text,CITY,,,,,,,,,,,,,
geocode_lat,tblcenter,,text,"Geocode - Latitude (GEOCODE_LAT)
<div style=""font-weight:lighter;font-style:italic"">Approximated geocodes (fewer decimal points) are acceptable. 
Example look-up website: <a target=""_blank"" href=""https://itouchmap.com/latlong.html"">iTouchMap</a> </div>",,,,,,,,,,,,,
geocode_lon,tblcenter,,text,Geocode - Longitude (GEOCODE_LON),,,,,,,,,,,,,
open_d,tblcenter,Site Metadata,text,"Database Open Date (OPEN_D)
<div style=""font-weight:lighter;font-style:italic"">(optional) earliest date for which data were included for this site</div>",,,date_ymd,,,,,,,,,,
close_d,tblcenter,,text,Database Closing Date (CLOSE_D),,,date_ymd,,,,,,,,,,
add_center,tblcenter,,text,"Site Inclusion Date (ADD_CENTER_D)
<div style=""font-weight:lighter;font-style:italic"">Date that the site was added to IeDEA</div>",,,date_ymd,,,,,,,,,,
drop_center,tblcenter,,text,"Site Exclusion date (DROP_CENTER_D)
<div style=""font-weight:lighter;font-style:italic"">Date that the site was dropped from IeDEA (if dropped)</div>",,,date_ymd,,,,,,,,,,
survey_internet,tblcenter,,dropdown,"SURVEY_INTERNET
<div style=""font-weight:lighter;font-style:italic"">Quality of Internet access for completing online surveys.</div>","1, sufficient   access to complete online surveys | 2, degraded access making online survey completion difficult | 3, no internet access | 9, Unknown",,,,,,,,,,,,
survey_paper,tblcenter,,dropdown,"SURVEY_PAPER
<div style=""font-weight:lighter;font-style:italic"">Resources for printing and transferring paper surveys to a central location for data entry</div>","1, site has resources to print and transfer surveys | 2, site has resources to print, but not to transfer surveys | 3, site does not have resources to print, but can transfer surveys | 4, site needs assistance in both printing and transferring surveys | 8, not applicable | 9, Unknown",,,,,,,,,,,,
supplemental_txt,tblcenter,,descriptive,"<div style=""color:white; text-align:center; border: 1px #3498db; background-color: #2980b9;""><h3 style=""margin:0px; padding:10px"">Supplemental Data (non-tblCENTER)</h3></div>",,,,,,,,,,,,,
notes,tblcenter,,notes,Notes about this site,,,,,,,,,,,,,
nondes_website,tblcenter,Map Information,text,Site Website,,,,,,,,,,,,,
nondes_displayname,tblcenter,,text,"Site Display Name
<div style=""font-weight:lighter"">The site's name is set as <u>[name]</u>. If you want a different name to appear on the IeDEA public website/map, list it here.</div>",,,,,,,,,,,,,
nondes_hidemap,tblcenter,,checkbox,"Hide this Site on Map
<div style=""font-weight:lighter;"">Can be used to hide sites on the iedea.org public map. Sites with a DROP_CENTER date will be automatically hidden.</div>","1, Yes",,,,,,,,,,,,
nondes_excludesurvey,tblcenter,Site Assessment Information,checkbox,Exclude from Site Assessment,"1, Yes",,,,,,,,,,,,
nondes_excludereason,tblcenter,,checkbox,Why excluded?,"1, No longer participating in IeDEA | 2, Interval cohort | 3, No direct contact with site | 4, Site declined participation | 99, Other",,,,,,[nondes_excludesurvey(1)] = '1',,,,,,
nondes_sa_notes,tblcenter,,notes,Site Assessment Notes,,,,,,,,,,,,,
time_start,iedea_2020_site_survey_english,,text," <div style=""border: 1px solid #19B5FE;background: #A2C0D9  ; font-size:13px; color: #000000; text-align:left;padding:10px;"">The ""Now"" button helps us estimate of how long this survey takes to complete.</div>",,,datetime_ymd,,,,,,,,,, @NOW @READONLY
name_info,iedea_2020_site_survey_english,,descriptive," <div style=""border: 1px solid #19B5FE;background: #A2C0D9  ; font-size:13px; color: #000000; text-align:left;padding:10px;"">Our information shows that the name for this site is <span style=""color:#000080; font-size:15px;"">[name]</span> </div>",,,,,,,,,,,,,
name_correction,iedea_2020_site_survey_english,,text," <div style=""border: 1px solid #19B5FE;background: #A2C0D9  ; font-size:13px; color: #000000; text-align:left;padding:10px;"">If <span style=""color:#000080; font-size:15px"">[name]</span> is not correct, please provide a correction and we will update our records.</div>",,,,,,,,,,,,,
name_pc,iedea_2020_site_survey_english," <div style=""border: 1px solid #19B5FE;background: #4682B4; font-size:18px; color: #000000; text-align:center;padding:10px;"">1. RESPONDENT INFORMATION</div>",text,1.1 Name of person completing this survey,,,,,,,,y,,,,,
email1,iedea_2020_site_survey_english,,text,1.2 Email address of person completing this survey,,,email,,,,,y,,,,,
date1,iedea_2020_site_survey_english,,text,1.3 Please enter the date this survey is being completed,,,date_ymd,,,,,y,,,,,
title,iedea_2020_site_survey_english,,radio,1.4 What is your title?,"1, Head Clinician/Clinical Officer In-Charge | 2, Other Clinician | 3, Site Manager | 4, Site Data Manager | 5, Head Nurse | 88, Other",,,,,,,y,,,,,
other_specify1,iedea_2020_site_survey_english,,text,"1.4.1  If Other, please specify",,,,,,,[title] = '88',y,,,,,
residence_setting,iedea_2020_site_survey_english," <div style=""border: 1px solid #19B5FE;background: #4682B4; font-size:18px; color: #000000; text-align:center;padding:10px;"">2. PATIENT POPULATION</div>",radio,"2.1 How would you describe the residence of the population served by this health facility's HIV clinic(s)?

<i>Select one response only</i>","2, Predominantly Urban | 3, Predominantly Rural | 5, Mixed urban/rural",,,,,,,y,,,,,
clinic_type_b,iedea_2020_site_survey_english,,checkbox,"2.2 What types of patients are served at the HIV clinic(s)?

<i>Check all that apply</i>","4, Children (ages 0-9) | 2, Adolescents / youth (ages 10-24) | 1, Adults - general population (ages 20+)",,,,,,,y,,,,,
desc_2_3,iedea_2020_site_survey_english,,descriptive,"2.3 In 2019 how often were <u>specialized or dedicated HIV clinics</u> held for each of the following patient groups? 

<i>If patient groups are served as part of general clinic population, rather than through dedicated clinics, check ""Not Available"".</i>

<i>Check all that apply</i></div>",,,,,,,,,,,,,
pediatrics_b,iedea_2020_site_survey_english,,checkbox,2.3a Pediatric patients (ages 0-9),"1, Available every day the <br> health facility is open | 2, Available on <br>special/dedicated days | 77, Not available",,,,,,,y,,,alt_3_2,, @NONEOFTHEABOVE='77
adolescents_b,iedea_2020_site_survey_english,,checkbox,2.3b Adolescents/youth (ages 10-24),"1, Available every day the <br> health facility is open | 2, Available on <br>special/dedicated days | 77, Not available",,,,,,,y,,,alt_3_2,, @NONEOFTHEABOVE='77
pregnant_b,iedea_2020_site_survey_english,,checkbox,2.3c Pregnant/breast-feeding women,"1, Available every day the <br> health facility is open | 2, Available on <br>special/dedicated days | 77, Not available",,,,,,,y,,,alt_3_2,, @NONEOFTHEABOVE='77
family_care,iedea_2020_site_survey_english,,checkbox,2.3d Family care clinics,"1, Available every day the <br> health facility is open | 2, Available on <br>special/dedicated days | 77, Not available",,,,,,,y,,,alt_3_2,, @NONEOFTHEABOVE='77
men,iedea_2020_site_survey_english,,checkbox,2.3e Men,"1, Available every day the <br> health facility is open | 2, Available on <br>special/dedicated days | 77, Not available",,,,,,,y,,,alt_3_2,, @NONEOFTHEABOVE='77
patients_w_oi,iedea_2020_site_survey_english,,checkbox,2.3f Patients with comorbidities or opportunistic infections,"1, Available every day the <br> health facility is open | 2, Available on <br>special/dedicated days | 77, Not available",,,,,,,y,,,alt_3_2,, @NONEOFTHEABOVE='77
sex_workers,iedea_2020_site_survey_english,,checkbox,2.3g Female sex workers (FSW),"1, Available every day the <br> health facility is open | 2, Available on <br>special/dedicated days | 77, Not available",,,,,,,y,,,alt_3_2,, @NONEOFTHEABOVE='77
msm,iedea_2020_site_survey_english,,checkbox,2.3h Men who have sex with <Br>men (MSM),"1, Available every day the <br> health facility is open | 2, Available on <br>special/dedicated days | 77, Not available",,,,,,,y,,,alt_3_2,, @NONEOFTHEABOVE='77
transgender,iedea_2020_site_survey_english,,checkbox,2.3i Transgender individuals,"1, Available every day the <br> health facility is open | 2, Available on <br>special/dedicated days | 77, Not available",,,,,,,y,,,alt_3_2,, @NONEOFTHEABOVE='77
people_w_suds,iedea_2020_site_survey_english,,checkbox,2.3j People with substance use disorders (SUDs),"1, Available every day the <br> health facility is open | 2, Available on <br>special/dedicated days | 77, Not available",,,,,,,y,,,alt_3_2,, @NONEOFTHEABOVE='77
people_w_iivd,iedea_2020_site_survey_english,,checkbox,2.3k People who inject drugs (PWID),"1, Available every day the <br> health facility is open | 2, Available on <br>special/dedicated days | 77, Not available",,,,,,,y,,,alt_3_2,, @NONEOFTHEABOVE='77
people_w_mhd,iedea_2020_site_survey_english,,checkbox,2.3l People with mental health disorders (MHDs),"1, Available every day the <br> health facility is open | 2, Available on <br>special/dedicated days | 77, Not available",,,,,,,y,,,alt_3_2,, @NONEOFTHEABOVE='77
mobile_populations,iedea_2020_site_survey_english,,checkbox,2.3m Mobile populations,"1, Available every day the <br> health facility is open | 2, Available on <br>special/dedicated days | 77, Not available",,,,,,,y,,,alt_3_2,, @NONEOFTHEABOVE='77
prisoners,iedea_2020_site_survey_english,,checkbox,2.3n Incarcerated populations/prisoners,"1, Available every day the <br> health facility is open | 2, Available on <br>special/dedicated days | 77, Not available",,,,,,,y,,,alt_3_2,, @NONEOFTHEABOVE='77
people_w_disabilities,iedea_2020_site_survey_english,,checkbox,2.3o People living with disabilities,"1, Available every day the <br> health facility is open | 2, Available on <br>special/dedicated days | 77, Not available",,,,,,,y,,,alt_3_2,, @NONEOFTHEABOVE='77
staffing_mx_0,iedea_2020_site_survey_english,"<div style=""border: 1px solid #19B5FE;background: #4682B4; font-size:18px; color: #000000; text-align:center;padding:10px;"">3. STAFFING & COMMUNITY LINKAGES 
 <i>Please describe staffing situation as it was prior to the COVID-19 pandemic</div>",descriptive,"3.1 In 2019, how often were the following categories of staff available at this HIV clinic?",,,,,,,,,,,,,
pediatrician_0,iedea_2020_site_survey_english,,radio,3.1a. Pediatrician (general),"1, Available every day <br> clinic is open | 2, Available some days | 77, Not available",,,,,,,y,,,staffing_mix_0,,
internist_0,iedea_2020_site_survey_english,,radio,"3.1b. Internist, family practitioner, generalist (physician)","1, Available every day <br> clinic is open | 2, Available some days | 77, Not available",,,,,,,y,,,staffing_mix_0,,
id_specialist,iedea_2020_site_survey_english,,radio,3.1c. Infectious disease or HIV specialist,"1, Available every day <br> clinic is open | 2, Available some days | 77, Not available",,,,,,,y,,,staffing_mix_0,,
midlevel_prov_0,iedea_2020_site_survey_english,,radio,"3.1d. Mid-level providers (clinical officers, nurses/nurse practitioners, midwifes, physician assistants)","1, Available every day <br> clinic is open | 2, Available some days | 77, Not available",,,,,,,y,,,staffing_mix_0,,
adher_counselor,iedea_2020_site_survey_english,,radio,3.1e. Adherence counselors,"1, Available every day <br> clinic is open | 2, Available some days | 77, Not available",,,,,,,y,,,staffing_mx,,
peer_educ,iedea_2020_site_survey_english,,radio,3.1f. Peer educators/<br>mentors/navigators,"1, Available every day <br> clinic is open | 2, Available some days | 77, Not available",,,,,,,y,,,staffing_mx,,
outreach,iedea_2020_site_survey_english,,radio,3.1g.  Outreach workers,"1, Available every day <br> clinic is open | 2, Available some days | 77, Not available",,,,,,,y,,,staffing_mx,,
nutritionist,iedea_2020_site_survey_english,,radio,3.1h. Nutritionists,"1, Available every day <br> clinic is open | 2, Available some days | 77, Not available",,,,,,,y,,,staffing_mx,,
descriptive,iedea_2020_site_survey_english,,descriptive,"3.2 In 2019, how often did this HIV clinic work with any of the following community-based partners to <u>promote HIV testing</u>?",,,,,,,,,,,,,
community_committee,iedea_2020_site_survey_english,,radio,"3.2a. Community health committees, village health teams, or voluntary community-based organizations","0, Never | 1, Daily/weekly | 2, Monthly/quarterly | 3, Less than quarterly",,,,,,,y,,,community_partners,,
community_leaders,iedea_2020_site_survey_english,,radio,"3.2b. Community leaders/officials, community health workers, or community health volunteers","0, Never | 1, Daily/weekly | 2, Monthly/quarterly | 3, Less than quarterly",,,,,,,y,,,community_partners,,
plwha_associations,iedea_2020_site_survey_english,,radio,3.2c. People living with HIV/AIDS (PLWHA) associations or patient support groups,"0, Never | 1, Daily/weekly | 2, Monthly/quarterly | 3, Less than quarterly",,,,,,,y,,,community_partners,,
other_associations,iedea_2020_site_survey_english,,radio,"3.2d. Other associations/support groups (e.g. addiction or mental health support groups, sexual minority support groups, etc.)","0, Never | 1, Daily/weekly | 2, Monthly/quarterly | 3, Less than quarterly",,,,,,,y,,,community_partners,,
peer_groups,iedea_2020_site_survey_english,,radio,3.2e. Youth groups or peer educator groups,"0, Never | 1, Daily/weekly | 2, Monthly/quarterly | 3, Less than quarterly",,,,,,,y,,,community_partners,,
partners_other,iedea_2020_site_survey_english,,radio,3.2f. Other <i>(please specify or select Never)</i>,"0, Never | 1, Daily/weekly | 2, Monthly/quarterly | 3, Less than quarterly",,,,,,,y,,,community_partners,,
other_specify2,iedea_2020_site_survey_english,,text,"3.2f1. If Other, please specify",,,,,,,[partners_other] = '1' or [partners_other] = '2' or [partners_other] = '3',y,,,,,
descriptive_2,iedea_2020_site_survey_english,,descriptive,"3.3 In 2019, how often did this HIV clinic work with any of the following community-based partners to <u> trace patients</u>?",,,,,,,,,,,,,
community_partners_trace,iedea_2020_site_survey_english,,radio,"3.3a. Community health committees, village health teams, or voluntary community-based organizations","0, Never | 1, Daily/weekly | 2, Monthly/quarterly | 3, Less than quarterly",,,,,,,y,,,trace,,
community_leaders_trace,iedea_2020_site_survey_english,,radio,"3.3b. Community leaders/officials, community health workers, or community health volunteers","0, Never | 1, Daily/weekly | 2, Monthly/quarterly | 3, Less than quarterly",,,,,,,y,,,trace,,
plwha_associations_trace,iedea_2020_site_survey_english,,radio,3.3c. People living with HIV/AIDS (PLWHA) associations or patient support groups,"0, Never | 1, Daily/weekly | 2, Monthly/quarterly | 3, Less than quarterly",,,,,,,y,,,trace,,
other_associations_trace,iedea_2020_site_survey_english,,radio,"3.3d. Other associations/support groups (e.g. addiction or mental health support groups, sexual minority support groups, etc.)","0, Never | 1, Daily/weekly | 2, Monthly/quarterly | 3, Less than quarterly",,,,,,,y,,,trace,,
peer_groups_trace,iedea_2020_site_survey_english,,radio,3.3e. Youth groups or peer educator groups,"0, Never | 1, Daily/weekly | 2, Monthly/quarterly | 3, Less than quarterly",,,,,,,y,,,trace,,
partners_other_trace,iedea_2020_site_survey_english,,radio,3.3f. Other <i>(please specify or select Never)</i>,"0, Never | 1, Daily/weekly | 2, Monthly/quarterly | 3, Less than quarterly",,,,,,,y,,,trace,,
other_specify_trace,iedea_2020_site_survey_english,,text,"3.3f1. If Other, please specify",,,,,,,[partners_other_trace] = '1' or [partners_other_trace] = '2' or [partners_other_trace] = '3',y,,,,,
ct_services,iedea_2020_site_survey_english,"<div style=""border: 1px solid #19B5FE;background: #4682B4; font-size:18px; color: #000000; text-align:center;padding:10px;"">4. HIV TESTING & DIAGNOSIS
<i>Please describe practices/service delivery as offered prior to the COVID-19 pandemic</div>",radio,"4.1 How often were HIV counseling and testing services offered at this health facility? 
","1, Services available every day clinic is open | 2, Services available some days | 3, Services never available",,,,,,,y,,,,,
test_services_type2_b,iedea_2020_site_survey_english,,checkbox,"4.2 What types of HIV testing services were offered at this health facility during 2019?



<i>Check all that apply.</i>","1, Opt-out testing <i>(provider-initiated)</i> | 2, Opt-in testing <i>(client-initiated)</i> | 3, Partner/couples testing | 4, ""Family tree"" testing <i>(testing of family and other household members)</i> | 7, Early Infant Diagnosis (EID) | 5, Rapid HIV tests/Same-day testing | 6, HIV self-testing kits | 88, Other",,,,,,[ct_services]!='3',y,,,,,
other_hivtesting,iedea_2020_site_survey_english,,text,"4.2a. If Other, please specify",,,,,,,[test_services_type2_b(88)] = '1',y,,,,,
services_type_2,iedea_2020_site_survey_english,,checkbox,"4.3 	Which of the following types of HIV testing services were offered <u>in the catchment area</u> of this health facility during 2019?


<i>Check all that apply OR select ""None"".</i>
","77, None | 2, Voluntary counseling and testing (VCT) at fixed community locations | 3, Mobile VCT testing | 1, Home testing | 4, Self testing | 88, Other | 99, Do not know",,,,,,,y,,,,, @NONEOFTHEABOVE=77
other_testing_services,iedea_2020_site_survey_english,,text,"4.3a. If Other, please specify",,,,,,,[services_type_2(88)] = '1',y,,,,,
confirm_test_art,iedea_2020_site_survey_english,,radio,"4.4 <u>After a positive result on an HIV screening test at this health facility or elsewhere</u>, was additional testing done at this health facility to confirm HIV diagnoses prior to initiating patients on ART?
","1, Yes | 0, No | 77, Not applicable (All patients initiate ART prior to enrollment at this site)",,,,,,,y,,,,,
confirm_dx_adults,iedea_2020_site_survey_english,,checkbox,"4.4a How was the diagnosis of HIV infection confirmed for adult patients enrolling into care at this site in 2019?

<i>Check all that apply.</i>
","1, Confirmatory antibody test | 2, Confirmation based on HIV viral load (PCR) test | 88, Other",,,,,,[confirm_test_art]='1',y,,,,,
confirm_dx_adults_other,iedea_2020_site_survey_english,,text,"4.4a1. If Other, please specify",,,,,,,[confirm_dx_adults(88)] = '1',y,,,,,
confirm_dx_infants,iedea_2020_site_survey_english,,checkbox,"4.4b How was the diagnosis of HIV infection confirmed for infants < 18 months at this site in 2019?

<i>Check all that apply.</i>
","77, Not applicable (no infants/pediatric patients) | 1, Confirmatory antibody test | 2, Confirmation based on HIV DNA or RNA PCR | 88, Other",,,,,,[confirm_test_art]='1',y,,,,, @NONEOFTHEABOVE=77
confirm_dx_infants_other,iedea_2020_site_survey_english,,text,"4.4b1. If Other, please specify",,,,,,,[confirm_dx_infants(88)] = '1',y,,,,,
dx_services_infants,iedea_2020_site_survey_english,,radio,"4.5 In 2019, how often were <u>early infant diagnosis (EID)</u> services offered at this health facility? ","1, Services available every day clinic is open | 2, Services available some days | 77, Services never available",,,,,,[confirm_test_art]<>1 OR [confirm_dx_infants(77)]<>1,y,,,,, @NONEOFTHEABOVE=77
same_day_poc,iedea_2020_site_survey_english,,radio,"4.6 Was same-day/point of care (POC) DNA PCR EID testing routinely available at this health facility in 2019? 

<u><i>Routinely available</u> means that the test could be requested or performed, when needed</i>
","1, Yes | 2, No",,,,,,[dx_services_infants] = '1' OR [dx_services_infants] = '2',y,RH,,,,
eid_dx_tat,iedea_2020_site_survey_english,,text,"4.7 During 2019, what was the usual turnaround time (in days) for getting early infant diagnosis (EID) test results?

<i>Enter the number of days, or NA if EID was not available  in 2019

<u>Turnaround time</u> means the time from ordering or referring a patient for the test to the time when results are received by the facility/clinic staff.</i>
",,Number of days or NA if EID not available in 2019,,,,,([dx_services_infants] = '1' OR [dx_services_infants] = '2'),y,,,,,
desc_4_8,iedea_2020_site_survey_english,,descriptive,"4.8 During 2019, where were the following <u>HIV diagnostic tests</u> typically performed for patients enrolled in care at this HIV clinic?   

<i>Confirm whether diagnostic services were provided in the HIV clinic and/or elsewhere at the same health facility, only off-site or were not available for routine patient care.</i>
",,,,,,,,,,,,,
rpid_hivtest,iedea_2020_site_survey_english,,checkbox,4.8a. HIV-1/HIV-2 antigen/antibody immunoassay test for established HIV infection,"1, Provided in <br>HIV Clinic | 2, In same health facility<br> (but not at HIV clinic) | 3, Only offsite<br> (referral) | 77, Not available",,,,,,,y,,,hiv_diagnstic_tests,," @NONEOFTHEABOVE=3,77"
